Key,zh-tw,zh-cn,ja-jp,en
Card._Card_sw001v1.Name,訓練用木劍,训练用木剑,練習用の木剣,Wooden Training Swords
Card._Card_sw001v2.Name,鐵劍,铁剑,鉄の剣,Iron Sword
Card._Card_sw001v3.Name,平衡劍,平衡剑,均衡の剣,Sword of Balance
Card._Card_sw002v1.Name,訓練用重劍,训练用重剑,練習用の大剣,Training Heavy Sword
Card._Card_sw002v2.Name,重劍,重剑,大剣,Heavy Sword
Card._Card_sw002v3.Name,重鐵,重铁,重鉄,Heavy Iron Sword
Card._Card_sw002v4.Name,狼牙大劍,狼牙大剑,狼牙の太刀,Fang Glaive
Card._Card_sw003v2.Name,盜賊短劍,短剑,盗賊の短剣,Thief’s Dirk
Card._Card_sw003v3.Name,俠盜短劍,侠客短剑,義賊の短剣,Ranger’s Dagger
Card._Card_sw005v1.Name,小曲刀,小曲刀,曲刀,Small Scimitar
Card._Card_sw005v2.Name,輕靈曲刀,轻灵曲刀,軽快の曲刀,Light Scimitar
Card._Card_sw005v3.Name,敏捷曲刀,敏捷曲刀,機敏の曲刀,Agile Scimitar
Card._Card_sw006v1.Name,突襲彎刀,突袭弯刀,襲撃のマチェーテ,Pouncing Scimitar
Card._Card_sw006v2.Name,追擊彎刀,追击弯刀,追撃のマチェーテ,Swiftstrike Machete
Card._Card_sw006v3.Name,火羽骸蝶,火羽骸蝶,ファイアデスフライ,Flaming Butterfly
Card._Card_sw007v1.Name,輕巧格擋匕首,轻巧格挡匕首,軽いガードダガー,Light Parrying Dagger
Card._Card_sw007v2.Name,格擋匕首,格挡匕首,ガードダガー,Parrying Dagger
Card._Card_sw007v3.Name,貴族格擋匕首,贵族格挡匕首,貴族のガードダガー,Nobility Parrying Dagger
Card._Card_sw009v1.Name,加護之劍,加护之剑,加護の剣,Blessed Sword
Card._Card_sw009v2.Name,神聖之劍,神圣之剑,ホーリーソード,Sacred Sword
Card._Card_sw009v3.Name,教堂禮劍,教堂礼剑,教会の礼剣,Ritual Sword
Card._Card_sw009v4.Name,結晶神聖劍,结晶神圣剑,クリスタルソード,Divine Crystal Sword
Card._Card_sw011v1.Name,切冰刃,切冰刃,切氷刃,Ice-cutting Edge
Card._Card_sw011v2.Name,破冰刃,破冰刃,砕氷刃,Ice-Breaker Blade
Card._Card_sw011v3.Name,破滅寒冰,破灭寒冰,デスフリーズ,Blasting Iceblade 
Card._Card_sw012v1.Name,引燃火劍,引燃火剑,ファイアソード,Ignition Sword
Card._Card_sw012v2.Name,閃燃焰劍,闪燃焰剑,フレイムソード,Flash Fire Machete
Card._Card_sw012v3.Name,爆燃殆盡,爆燃殆尽,エバーフレイム,Death Fire
Card._Card_sw013v1.Name,致毒曲刀,致毒曲刀,毒の曲刀,Poison Scimitar
Card._Card_sw013v2.Name,猛毒曲刀,猛毒曲刀,猛毒の曲刀,Venomous Scimitar
Card._Card_sw013v3.Name,劇毒蟲皇,剧毒虫皇,猛毒の蟲王,Venomous Demon
Card._Card_sw016v4.Name,霜凍的石劍,霜冻的石剑,霜凍の石剣,Frozen Sword
Card._Card_sw018v1.Name,長劍,长剑,長剣,Long Sword
Card._Card_sw018v2.Name,騎士長劍,骑士长剑,騎士の長剣,Knight's Sword
Card._Card_sw020v1.Name,不屈之劍,不屈之剑,不屈の剣,Sword of Tenacity
Card._Card_sw020v2.Name,守護者之劍,守护者之剑,守護者の剣,Protector's Sword
Card._Card_sw008v1.Name,蜘蛛,蜘蛛,クモ,Spider
Card._Card_sw008v2.Name,影襲,影袭,シャドーアサルト,Spectre’s Strike
Card._Card_sw024v2.Name,搗蛋南瓜君,捣蛋南瓜君,イタズラかぼちゃくん,Naughty Pumpkin
Card._Card_sw021v1.Name,重騎兵之劍,重骑兵之剑,重騎兵の剣,Cavalry's Sword
Card._Card_sw015v1.Name,暗殺者之劍,暗杀者之剑,暗殺者の剣,Thug’s Blade 
Card._Card_sw022v1.Name,海鯊大劍,,シャーククレイモア,Shark Claymore
Card._Card_sw023v1.Name,海盜彎刀,,パイレーツククリ,Pirate's Scimitar
Card._Card_sw017v4.Name,巨鯨之息,,巨鯨の息吹,Whale’s Breath
