Key,zh-tw,zh-cn,ja-jp,en
Item._ItmDp_c04A.Name,破岩鳥喙,破岩鸟喙,鋭い嘴,Rock Breaking Beak
Item._ItmDp_c03X1B.Name,雲王的大拳頭,云王的大拳头,雲王の拳骨,Big Fist of the Cloud King
Item._ItmDp_c03X1A.Name,雲王之拳,云王之拳,雲王の拳,Fist of the Cloud King
Item._ItmDp_c03C.Name,野牛指甲,野牛指甲,野牛の爪,Buffalo Nail
Item._ItmDp_c03B.Name,雷雲雲團,雷云云团,ふわふわ雲,Thunder Cloud Cluster
Item._ItmDp_c03A.Name,野牛皮革,野牛皮革,野牛の皮,Buffalo Leather
Item._ItmDp_c02X2B.Name,金屬鳥喙,金属鸟喙,金属の嘴,Metal Beak
Item._ItmDp_c02X2A.Name,金屬鳥羽,金属鸟羽,金属の羽,Metal Feather
Item._ItmDp_c02X1B.Name,森林狼王的爪,森林狼王的爪,森林の狼王の爪,Claw of the Forest Wolf King
Item._ItmDp_c02X1A.Name,森林狼王的皮革,森林狼王的皮革,森林の狼王の革,Leather of the Forest Wolf King
Item._ItmDp_c02D.Name,劇毒鳥喙,剧毒鸟喙,猛毒の嘴,Toxic Beak
Item._ItmDp_c02C.Name,螳螂蜂的翼,螳螂蜂的翼,蟷螂蜂の翼,Mantispid’s Wing
Item._ItmDp_c02B.Name,劇毒鳥羽,剧毒鸟羽,猛毒の羽,Toxic Feather
Item._ItmDp_c02A.Name,森林鳥羽,森林鸟羽,森の羽,Forest Feather
Item._ItmDp_c01X1B.Name,黃金齒輪,黄金齿轮,黄金の歯車,Gold Gear
Item._ItmDp_c01X1A.Name,絲綢,丝绸,シルク,Silk
Item._ItmDp_c01D.Name,黑鐵齒輪,黑铁齿轮,黒鉄の歯車,Black Iron Gear
Item._ItmDp_c01C.Name,赤綿布,赤绵布,赤綿布,Red Cotton Cloth
Item._ItmDp_c01B.Name,黃銅齒輪,黄铜齿轮,黄銅の歯車,Brass Gear
Item._ItmDp_c01A.Name,亞麻布,亚麻布,亜麻布,Linen Cloth
Item._Item_it0026a.Name,魔蝶之羽,魔蝶之羽,デビルフライの羽,Devil Butterfly's Wing
Item._Item_it0025a.Name,魔蝶之眼,魔蝶之眼,デビルフライの眼,Devil Butterfly's Eye
Item._ItmDp_c03D.Name,雷雲雲拳,雷云云拳,雷雲のこぶし,Lightning Cloud Fist
Item._ItmDp_c04C.Name,蜘蛛腳,蜘蛛脚,クモの足,Spider Foot
Item._ItmDp_c04B.Name,岩足的碎片,岩足的碎片,イワモスのかけら,Living Rock Fragment
Item._ItmDp_c04D.Name,岩足的心核,岩足的心核,イワモスのハートコア,Living Rock Core
Item._ItmDp_c04X1A.Name,巨大蜘蛛腳,巨大蜘蛛脚,巨大グモの足,Giant Spider Foot
Item._ItmDp_c04X1B.Name,巨大蜘蛛絲,巨大蜘蛛丝,巨大グモの糸,Giant Cobweb
Item._ItmDp_c05A.Name,部族首飾,部落首饰,部族のアクセサリー,Clan Headgear
Item._ItmDp_c05B.Name,烏黑雲團,乌黑云团,黒い雲綿,Dark Cloud
Item._ItmDp_c05C.Name,次級風鳴石碎片,次级风鸣石碎片,粗悪な風鳴石のかけら,Minor Windsing Stone Fragment
Item._ItmDp_c05D.Name,烏黑雲拳,乌黑云拳,黒い雷雲のこぶし,Dark Cloud Fist
Item._ItmDp_c05X1A.Name,酋長頭飾,酋长头饰,酋長の頭飾り,Chief Headgear
Item._ItmDp_c05X1B.Name,風鳴石碎片,风鸣石碎片,風鳴石のかけら,Windsing Stone Fragment
Item._ItmDp_c06A.Name,結晶蜂翼,结晶蜂翼,水晶蜂の羽,Crystal Bee Wing
